City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-04-25 02:13:28,-54.8,-68.3,44.6,76,20,3.44
1,Cherskiy,RU,2021-04-25 02:14:55,68.75,161.3,21.88,82,100,13.02
2,Atuona,PF,2021-04-25 02:15:19,-9.8,-139.0333,80.8,73,62,16.08
3,Kapaa,US,2021-04-25 02:15:43,22.0752,-159.319,78.8,65,20,14.97
4,Bethel,US,2021-04-25 02:15:44,41.3712,-73.414,55.0,56,100,3.98
5,Punta Arenas,CL,2021-04-25 02:15:44,-53.15,-70.9167,44.6,70,0,9.22
6,Salisbury,GB,2021-04-25 02:15:45,51.0693,-1.7957,42.01,70,0,8.05
7,Teya,RU,2021-04-25 02:13:17,60.3778,92.6267,37.6,85,100,2.89
8,Nuuk,GL,2021-04-25 02:15:45,64.1835,-51.7216,46.4,49,75,12.66
9,Turinskaya Sloboda,RU,2021-04-25 02:15:46,57.6232,64.3858,43.79,55,100,9.13
10,Rikitea,PF,2021-04-25 02:15:46,-23.1203,-134.9692,78.71,75,100,12.97
11,Qaanaaq,GL,2021-04-25 02:13:57,77.484,-69.3632,23.56,68,91,8.08
12,Honggang,CN,2021-04-25 02:15:46,46.4667,124.8667,55.45,22,1,12.17
13,Port Elizabeth,ZA,2021-04-25 02:13:52,-33.918,25.5701,59.0,94,90,6.91
14,Mogadishu,SO,2021-04-25 02:15:47,2.0371,45.3438,82.65,76,52,9.95
15,Challapata,BO,2021-04-25 02:15:47,-18.9,-66.7667,42.67,32,0,1.3
16,Marivan,IR,2021-04-25 02:15:48,35.5219,46.176,55.99,21,97,3.89
17,Saint George,US,2021-04-25 02:15:20,37.1041,-113.5841,78.01,13,1,27.63
18,Port Alfred,ZA,2021-04-25 02:15:49,-33.5906,26.891,64.31,81,81,8.23
19,Alugan,PH,2021-04-25 02:15:49,12.2188,125.4808,82.47,72,53,7.0
20,Hasaki,JP,2021-04-25 02:15:00,35.7333,140.8333,72.0,52,75,10.36
21,Petropavlovsk-Kamchatskiy,RU,2021-04-25 02:15:50,53.0452,158.6483,37.4,87,75,2.24
22,Arraial Do Cabo,BR,2021-04-25 02:14:26,-22.9661,-42.0278,73.42,80,10,6.96
23,Jinxi,CN,2021-04-25 02:15:50,30.4323,116.2922,61.54,82,100,4.12
24,Saint Austell,GB,2021-04-25 02:15:50,50.3383,-4.7658,48.2,53,5,13.8
25,Umtata,ZA,2021-04-25 02:15:51,-31.5889,28.7844,52.75,87,1,4.25
26,Cuorgne,IT,2021-04-25 02:15:51,45.3895,7.6499,57.0,71,21,4.45
27,Puerto Ayora,EC,2021-04-25 02:15:52,-0.7393,-90.3518,75.76,88,84,6.26
28,Butaritari,KI,2021-04-25 02:13:31,3.0707,172.7902,82.67,75,52,10.2
29,Tutoia,BR,2021-04-25 02:15:52,-2.7619,-42.2744,77.77,89,99,9.46
30,De-Kastri,RU,2021-04-25 02:12:15,51.4667,140.7833,38.32,48,84,10.83
31,Sur,OM,2021-04-25 02:15:53,22.5667,59.5289,84.22,38,0,7.58
32,Maniitsoq,GL,2021-04-25 02:15:53,65.4167,-52.9,38.19,66,99,6.06
33,Busselton,AU,2021-04-25 02:15:54,-33.65,115.3333,66.0,85,1,1.12
34,Bengkulu,ID,2021-04-25 02:15:26,-3.8004,102.2655,81.46,71,67,2.44
35,Geraldton,AU,2021-04-25 02:15:54,-28.7667,114.6,78.8,34,98,6.91
36,Narok,KE,2021-04-25 02:15:54,-1.0783,35.8601,55.51,94,38,3.83
37,Tiruchchendur,IN,2021-04-25 02:15:55,8.4833,78.1167,82.4,78,20,2.3
38,Hobart,AU,2021-04-25 02:13:32,-42.8794,147.3294,62.01,51,75,16.11
39,Nikolskoye,RU,2021-04-25 02:15:56,59.7035,30.7861,36.0,93,20,4.47
40,Santo Antonio Do Ica,BR,2021-04-25 02:15:56,-3.1022,-67.9397,74.43,97,100,1.95
41,Mar Del Plata,AR,2021-04-25 02:15:56,-38.0023,-57.5575,55.99,94,40,5.75
42,Nizhnevartovsk,RU,2021-04-25 02:15:57,60.9344,76.5531,41.0,81,0,5.19
43,Alvinopolis,BR,2021-04-25 02:15:57,-20.1067,-43.0489,63.55,95,0,1.86
44,Shache,CN,2021-04-25 02:15:57,38.4167,77.2406,62.4,16,100,6.13
45,Marathon,US,2021-04-25 02:15:58,44.9,-89.7668,37.4,65,20,10.36
