City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
29,Moron,AR,73.99,clear sky,-34.6534,-58.6198,Hotel Morón
74,Nishihara,JP,73.4,scattered clouds,26.1842,127.7558,Minshuku Agaihama
96,Sao Filipe,CV,72.84,clear sky,14.8961,-24.4956,Tortuga B&B
118,Popondetta,PG,72.77,overcast clouds,-8.7537,148.2534,Timos Transit House
174,Victoria,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
176,Ampanihy,MG,72.39,broken clouds,-24.7,44.75,Angora Hotel
195,Port Hedland,AU,73.4,clear sky,-20.3167,118.5667,The Esplanade Hotel
217,Kawalu,ID,73.13,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
229,Concepcion Del Uruguay,AR,72.0,clear sky,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
234,Gat,IL,72.0,clear sky,31.61,34.7642,OlusHome
238,Mar Del Plata,AR,73.4,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
252,Kiunga,PG,72.55,heavy intensity rain,-6.1219,141.2906,Airport Lodge Kiunga
259,Mbanza-Ngungu,CD,72.72,overcast clouds,-5.25,14.8667,Hotel Full Business
262,Poum,NC,73.29,few clouds,-20.2333,164.0167,Gîte kajeon
264,Kasempa,ZM,72.14,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
267,Mercedes,AR,75.0,clear sky,-34.6515,-59.4307,Posada del Inti Centro
284,Dingle,PH,74.53,few clouds,10.9995,122.6711,SEGAYA PROPERTY
285,Kaabong,UG,73.26,broken clouds,3.4836,34.1492,Rock Motel Ltd
311,Mont-Dore,NC,73.0,broken clouds,-22.2833,166.5833,GIte
319,Presidencia Roque Saenz Pena,AR,73.0,clear sky,-26.7852,-60.4388,Hotel Gualok
323,Pergamino,AR,75.0,clear sky,-33.89,-60.5736,Hotel Fachinat
352,Mocuba,MZ,74.37,broken clouds,-16.8392,36.9856,Phama Lodge
369,General Pico,AR,72.99,clear sky,-35.6566,-63.7568,Hotel Malargue
384,Vao,NC,72.88,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
401,Itoman,JP,73.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
413,Tabuk,PH,72.45,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
510,Vangaindrano,MG,73.06,light rain,-23.35,47.6,Hotel Fanilo
527,Hargeysa,SO,73.44,moderate rain,9.56,44.065,City Center Hotel
532,Zhuhai,CN,73.4,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
561,Pringsewu,ID,73.62,overcast clouds,-5.3582,104.9744,Urban Style by Front One
572,Waingapu,ID,73.92,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
582,Palu,ID,74.52,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
586,Nanakuli,US,73.99,clear sky,21.3906,-158.1547,Camp Pālehua
594,Iguape,BR,72.64,broken clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
609,Ahuimanu,US,73.99,clear sky,21.4447,-157.8378,Paradise Bay Resort
610,Topeka,US,73.4,overcast clouds,39.0483,-95.678,Capitol Plaza Hotel Topeka
628,Chivilcoy,AR,75.0,few clouds,-34.8957,-60.0167,Chivilrent
630,Phonhong,LA,74.89,light rain,18.5007,102.4166,Manyvong Guest House
641,Florin,US,72.0,clear sky,38.496,-121.4088,Oasis Inn Sacramento- Elk Grove
648,Viedma,AR,74.84,scattered clouds,-40.8135,-62.9967,Hotel Cristal
649,Quang Ngai,VN,74.35,overcast clouds,15.1167,108.8,Central Hotel
663,Isangel,VU,72.75,scattered clouds,-19.55,169.2667,Tanna Lodge
672,Ergani,TR,73.4,clear sky,38.2653,39.7621,Serkan Hotel
678,Owando,CG,73.47,moderate rain,-0.4819,15.8999,Exaunel Hotel Owando
