City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-04-20 05:53:29,42.6001,-73.9662,45.0,72,26,3.94
1,Fallbrook,US,2021-04-20 05:48:32,33.3764,-117.2512,59.0,100,1,2.84
2,Mana,GF,2021-04-20 05:53:30,5.6592,-53.7767,74.44,90,99,6.69
3,Cape Town,ZA,2021-04-20 05:50:06,-33.9258,18.4232,60.01,77,0,8.05
4,Egvekinot,RU,2021-04-20 05:53:31,66.3167,-179.1667,20.91,83,3,2.24
5,Mataura,NZ,2021-04-20 05:53:32,-46.1927,168.8643,61.0,66,10,1.99
6,Saint-Philippe,RE,2021-04-20 05:53:33,-21.3585,55.7679,82.99,83,75,5.75
7,Qaanaaq,GL,2021-04-20 05:53:34,77.484,-69.3632,-4.32,72,97,8.05
8,Busselton,AU,2021-04-20 05:53:35,-33.65,115.3333,70.0,67,63,3.0
9,Sitka,US,2021-04-20 05:53:35,57.0531,-135.33,48.2,87,90,3.44
10,Fortuna,US,2021-04-20 05:53:36,40.5982,-124.1573,50.0,87,90,5.75
11,Talaya,RU,2021-04-20 05:53:37,61.3833,152.75,34.95,81,97,18.61
12,Butaritari,KI,2021-04-20 05:53:38,3.0707,172.7902,82.35,78,94,11.16
13,Cururupu,BR,2021-04-20 05:53:39,-1.8283,-44.8683,71.89,97,98,2.06
14,New Norfolk,AU,2021-04-20 05:53:39,-42.7826,147.0587,51.01,69,100,4.0
15,Kaitangata,NZ,2021-04-20 05:53:40,-46.2817,169.8464,57.99,82,51,1.99
16,Oranjemund,NA,2021-04-20 05:53:40,-28.55,16.4333,64.04,76,43,4.83
17,Vardo,NO,2021-04-20 05:53:42,70.3705,31.1107,41.0,65,0,21.34
18,Seddon,AU,2021-04-20 05:53:42,-37.8068,144.8916,54.0,93,75,13.8
19,Catamarca,AR,2021-04-20 05:50:43,-28.4696,-65.7852,63.0,86,4,1.99
20,Lebu,CL,2021-04-20 05:53:43,-37.6167,-73.65,57.65,91,100,14.12
21,Staraya Toropa,RU,2021-04-20 05:53:43,56.2801,31.6702,41.95,77,100,9.84
22,Salalah,OM,2021-04-20 05:53:44,17.0151,54.0924,87.8,35,0,2.3
23,Punta Arenas,CL,2021-04-20 05:50:52,-53.15,-70.9167,41.0,87,20,8.05
24,Dikson,RU,2021-04-20 05:53:45,73.5069,80.5464,6.71,84,10,11.86
25,Plettenberg Bay,ZA,2021-04-20 05:53:45,-34.0527,23.3716,62.02,82,91,7.02
26,Clyde River,CA,2021-04-20 05:53:46,70.4692,-68.5914,3.2,85,90,17.27
27,Havoysund,NO,2021-04-20 05:53:47,70.9963,24.6622,46.4,70,0,23.02
28,Ushuaia,AR,2021-04-20 05:53:47,-54.8,-68.3,41.0,93,20,5.75
29,Yeniseysk,RU,2021-04-20 05:53:48,58.4497,92.1703,19.83,75,100,10.92
30,Mecca,SA,2021-04-20 05:53:48,21.4267,39.8261,90.25,27,33,6.85
31,Hobart,AU,2021-04-20 05:49:10,-42.8794,147.3294,51.01,76,75,5.75
32,Bredasdorp,ZA,2021-04-20 05:53:49,-34.5322,20.0403,57.2,82,13,13.8
33,Castro,BR,2021-04-20 05:53:50,-24.7911,-50.0119,53.82,96,27,5.41
34,Jamestown,US,2021-04-20 05:53:50,42.097,-79.2353,42.8,93,90,13.8
35,Tecoanapa,MX,2021-04-20 05:53:51,16.5167,-98.75,75.9,64,0,4.85
36,Barrow,US,2021-04-20 05:50:42,71.2906,-156.7887,19.4,79,90,17.27
37,Trairi,BR,2021-04-20 05:53:52,-3.2778,-39.2689,71.76,96,73,3.98
38,Kahului,US,2021-04-20 05:50:23,20.8947,-156.47,78.8,73,20,5.75
39,Axim,GH,2021-04-20 05:53:53,4.8699,-2.2405,79.11,85,100,2.95
40,Atuona,PF,2021-04-20 05:53:53,-9.8,-139.0333,80.56,73,33,17.56
41,Upernavik,GL,2021-04-20 05:53:54,72.7868,-56.1549,0.14,73,92,5.53
42,Chokurdakh,RU,2021-04-20 05:53:55,70.6333,147.9167,21.09,88,100,14.12
43,Foumbot,CM,2021-04-20 05:53:56,5.5079,10.6356,68.86,85,87,1.21
44,Maniitsoq,GL,2021-04-20 05:53:57,65.4167,-52.9,29.95,98,100,5.19
45,Codrington,AU,2021-04-20 05:53:58,-38.2667,141.9667,54.61,47,92,18.21
46,Hilo,US,2021-04-20 05:53:55,19.7297,-155.09,75.2,73,75,6.91
47,Tuktoyaktuk,CA,2021-04-20 05:53:59,69.4541,-133.0374,21.2,93,75,14.97
48,Touros,BR,2021-04-20 05:53:59,-5.1989,-35.4608,75.2,94,40,4.61
